month_date_yyyymm,state,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202106,north carolina,359500,0.013,0.0624,13543,0.1011,-0.5536,12820,0.0991,0.0269,888,-0.319,-0.4702,161.8301817,0.0193,0.1531,1775,-0.0039,-0.1112,531242.4886,0.0035,0.1503
202106,south dakota,276950,0.0113,0.0739,2097,0.071,-0.408,1192,0.155,-0.0261,60,0.0714,0.6667,150.6206714,0.0278,0.1518,1854,0.012,-0.0683,351385.8302,0.0273,0.0672
202106,connecticut,494450,0.2364,0.2425,7206,-0.3602,-0.5801,5548,-0.0881,-0.1438,156,-0.381,-0.371,227.7581747,0.1255,0.2564,2160.5,0.0824,-0.0039,1168468.846,0.3005,0.4504
202106,alabama,272400,-0.0022,0.0527,7879,0.0217,-0.5176,5764,0.0802,-0.0117,556,-0.3505,-0.3653,128.4799253,0.0027,0.1167,1955.5,-0.0099,-0.0569,382472.7708,0.0053,0.1347
202106,colorado,584790,0.017,0.1301,10205,0.1776,-0.5212,11708,0.2633,-0.0095,596,-0.2074,-0.2624,264.8707801,0.01,0.2035,2183.5,0.0109,-0.0789,1205490.74,-0.0314,0.3389
202106,ohio,219900,0,0,12547,0.1737,-0.3126,13632,0.1277,0.2552,768,-0.0495,0.6271,115.512215,0.0165,0.1253,1669,0.0072,-0.056,312156.5542,-0.0147,0.0375
202106,kansas,219950,-2.00E-04,2.00E-04,3712,0.1457,-0.4162,3156,0.1385,0.0605,236,-0.0328,0.8438,110.9861872,0.009,0.0989,1872,-0.0021,-0.1075,309791.451,-0.0203,-0.0135
202106,oregon,524850,0.0191,0.1665,6353,0.1813,-0.4237,6880,0.0879,0.1895,2696,-0.0767,0.7282,281.0398191,0.0169,0.2333,1880,0.0053,-0.0716,709496.8418,0.0163,0.1909
202106,hawaii,695000,0.0221,0.1006,4539,-0.0338,-0.3375,1712,0.0414,0.0863,104,-0.1034,0.625,563.7450199,0,0.0961,1160,0.0026,-0.0445,1283461.783,-2.00E-04,0.1233
202106,utah,597700,-0.0037,0.2814,4118,0.1947,-0.5431,5112,0.135,0.1103,340,-0.0449,-0.5087,244.6807984,0.0026,0.3372,2559.5,0.0205,-0.0083,1237374.936,-0.0162,0.5238
202106,west virginia,174950,0.0352,0.0072,2869,0.0591,-0.4605,1512,-0.0131,-0.0357,56,-0.0667,0,89.82485073,0.0273,0.0825,1584,0.0102,-0.0353,278159.3011,0.0065,0.1327
202106,nevada,417500,0.0437,0.193,5628,0.0527,-0.4898,4664,0.0157,0.0737,448,-0.0175,0.2874,226.2600904,0.0165,0.2157,1833.5,0.0147,-0.0325,748476.3819,0.0196,0.2339
202106,washington,578997.5,0.007,0.1592,7262,0.1483,-0.4667,11160,0.1378,0.1842,992,0.0553,0.0877,303.111611,0.0057,0.2435,1870,0.0108,-0.0772,798551.5109,0.0096,0.161
202106,illinois,269997.5,0.0189,0.08,29493,0.1019,-0.3345,20684,0.136,0.0145,472,-0.2976,0.3111,143.6601562,0.0352,0.1801,1565.5,0.0107,-0.0977,417236.6575,-2.00E-04,0.1158
202106,new mexico,299999.5,0.004,0.0718,3992,0.0705,-0.3031,2188,0.034,0.0984,104,-0.3158,0.04,150.9056001,0.0237,0.0954,1955.5,0.0044,-0.0136,464459.259,0.005,0.1313
202106,mississippi,232500,-0.0106,0.0717,3785,0.0464,-0.5161,2116,0.0538,-0.0752,92,-0.5106,-0.4103,108.4028223,0.0068,0.0696,1994,-0.005,-0.0065,330406.335,-0.0062,0.1918
202106,massachusetts,659500,-8.00E-04,0.0993,9024,0.197,-0.33,10332,0.1235,0.1455,240,-0.1892,0.2,375.3716964,-0.0113,0.2564,1754.5,0.0054,-0.1119,1200665.645,-0.0316,0.2539
202106,louisiana,275000,0,0.1199,7617,0.1099,-0.4675,3880,0.0899,-0.0744,240,-0.25,0.0909,137.8371432,0.0015,0.1161,1966,0.0031,0.0033,386488.7039,-0.0054,0.1864
202106,vermont,357500,-0.0042,0.1278,1581,0.1309,-0.5122,972,0.08,-0.083,24,-0.6,-0.5714,191.5075956,0.0035,0.2278,1960,0.0187,-0.0278,556068.473,-0.0039,0.2135
202106,minnesota,324700,0.0147,0.0478,10174,0.161,-0.4091,10200,0.173,0.0846,348,-0.1714,0.5536,173.3477786,0.0052,0.1312,1880,5.00E-04,-0.0686,424058.8433,-0.0107,0.0559
202106,wisconsin,279950,-0.0174,0.018,8671,0.1412,-0.3943,7596,0.165,0.1405,144,-0.28,-0.2,149.2308901,0.0127,0.0871,1718,-0.0069,-0.0648,377977.4333,-0.0051,0.0595
202106,georgia,360000,0.0028,0.1187,24861,0.1023,-0.515,24052,0.1152,0.0547,1568,-0.249,-0.4024,143.7382812,0.0183,0.1994,1896.5,0.0034,-0.0956,516150.6881,-3.00E-04,0.1783
202106,pennsylvania,279950,-0.0174,0.12,19337,0.1863,-0.3314,15580,0.1267,0.0567,652,-0.3237,0.0316,149.7229771,0.0059,0.2225,1653,6.00E-04,-0.0462,413517.8805,-0.031,0.1417
202106,rhode island,405950,0.02,-0.0447,1243,0.1704,-0.4256,1592,0.1637,0.2797,16,-0.2,0,272.9594957,0.0342,0.1291,1543,0.0246,-0.1183,788673.6553,-0.0309,0.0769
202106,arizona,445000,0.023,0.1539,7937,0.1297,-0.4703,9684,0.0915,0.2702,612,-0.0613,-0.3489,236.6331406,0.0248,0.2311,1961.5,-0.0033,-0.059,733536.9918,-0.0113,0.1978
